,c20a3b_1,c20a3b_2
1,220.0568108,233.173755
2,189.3911297,188.8623838
3,117.3243368,119.8540779
4,61.46543744,60.16643583
5,50.11985634,52.20153254
6,42.94182111,42.72001873
7,38.58756276,40.85339643
8,32.20248438,34.0147027
9,30.52867504,26.57066051
10,28.63564213,22.8035085
11,22.82542442,28.16025568
12,18.35755975,19.92485885
13,24.69817807,25.29822128
14,22.82542442,24.51530134
15,36.23534186,28.63564213
16,NA,NA
17,NA,NA
18,NA,NA
19,NA,NA
20,NA,NA
