713539,7.5,1953.563313
713540,7.2,1953.566051
713541,7,1953.568789
713542,6.8,1953.571526
713543,6.8,1953.574264
713544,7,1953.577002
713545,6.9,1953.57974
713546,7.5,1953.582478
713547,7.8,1953.585216
713548,7.7,1953.587953
713549,8,1953.590691
713550,7.2,1953.593429
713551,6.8,1953.596167
713552,6.6,1953.598905
713553,6.5,1953.601643
713554,7,1953.604381
713555,7.2,1953.607118
713556,7.2,1953.609856
713557,8,1953.612594
713558,8,1953.615332
713559,7.5,1953.61807
713560,7.9,1953.620808
713561,8,1953.623546
713562,9.4,1953.626283
713563,9.2,1953.629021
713564,9.5,1953.631759
713565,9.8,1953.634497
713566,10.1,1953.637235
713567,9.5,1953.639973
713568,9.9,1953.64271
713569,9.2,1953.645448
713570,9.5,1953.648186
713571,9.5,1953.650924
713572,9,1953.653662
713573,8.5,1953.6564
713574,8.9,1953.659138
713575,8.8,1953.661875
713576,8.1,1953.664613
713577,8.6,1953.667351
713578,9.4,1953.670089
713579,9.5,1953.672827
713580,9.9,1953.675565
713581,10,1953.678303
713582,10.2,1953.68104
713583,10.6,1953.683778
713584,10.9,1953.686516
713585,10.5,1953.689254
713586,10.8,1953.691992
713587,10.5,1953.69473
713588,9.5,1953.697467
713589,9.9,1953.700205
713590,8.7,1953.702943
713591,7.5,1953.705681
713592,7,1953.708419
713593,7.5,1953.711157
713594,8.5,1953.713895
713595,9.2,1953.716632
713596,9.1,1953.71937
713597,8.5,1953.722108
713598,8.8,1953.724846
713599,8.8,1953.727584
713600,9.2,1953.730322
713601,9.5,1953.73306
713602,9.6,1953.735797
713603,10,1953.738535
713604,10.5,1953.741273
713605,11.1,1953.744011
713606,11,1953.746749
713607,11.1,1953.749487
713608,11.1,1953.752225
713609,11.5,1953.754962
713610,11.5,1953.7577
713611,12,1953.760438
713612,11.5,1953.763176
713613,12.1,1953.765914
713614,12.3,1953.768652
713615,12.5,1953.771389
713616,12.5,1953.774127
713617,13,1953.776865
713618,12.8,1953.779603
713619,12.4,1953.782341
713620,13.1,1953.785079
713621,13.4,1953.787817
713622,14,1953.790554
713623,14,1953.793292
713624,14.1,1953.79603
713625,14.5,1953.798768
713626,13.5,1953.801506
713627,13.5,1953.804244
713628,12.8,1953.806982
713629,13,1953.809719
713630,12.8,1953.812457
713631,12.5,1953.815195
713632,13.5,1953.817933
713633,13,1953.820671
713634,13.8,1953.823409
713635,12.6,1953.826146
713636,12.5,1953.828884
713637,12.2,1953.831622
713638,12.5,1953.83436
713639,13.2,1953.837098
713640,13,1953.839836
713641,13.5,1953.842574
713642,13,1953.845311
713643,12.6,1953.848049
713644,11.6,1953.850787
713645,13.1,1953.853525
713646,13.9,1953.856263
713647,14,1953.859001
713648,14,1953.861739
713649,13.4,1953.864476
713650,14,1953.867214
713651,14.8,1953.869952
713652,14.9,1953.87269
713653,15,1953.875428
713654,15,1953.878166
713655,15,1953.880903
713656,15.6,1953.883641
713657,15.2,1953.886379
713658,15.8,1953.889117
713659,14.3,1953.891855
713660,13.6,1953.894593
713661,13.1,1953.897331
713662,13.5,1953.900068
713663,13.5,1953.902806
713664,14.4,1953.905544
713665,14.7,1953.908282
